,Place,Source,PM 2.5,Site type,Latitude,Longitude,Started recording PM 2.5 hourly,Monitoring Authority,Comments
0,Aston Hill,AQW,No,Urban background,52.943644, -3.053116,NA,-,
1,Bridgend Park Street,AQW,No,Urban background,52.943644, -3.053116,NA,-,
2,Caerphilly Blackwood High Street,AQW,No,Urban background,52.943644, -3.053116,NA,-,
3,Caerphilly Fochriw,AQW,Yes,Urban background,52.943644, -3.053116,04/05/2012,Local authority,
4,Caerphilly Islwyn Road Wattsville,AQW,No,Urban background,52.943644, -3.053116,NA,-,
5,Caerphilly White Street,AQW,No,Urban background,52.943644, -3.053116,NA,-,
6,Cardiff Castle Street,AQW,Yes,Urban background,52.943644, -3.053116,20/10/2020,Local authority,
7,Cardiff Centre,AQW,Yes,Urban background,52.943644, -3.053116,12/08/2008,DEFRA,
8,Cardiff Newport Road,AQW,No,Urban background,52.943644, -3.053116,NA,-,
9,Chepstow A48,AQW,Yes,Urban background,52.943644, -3.053116,09/02/2010,DEFRA,
10,Cimla Road / Victoria Gardens,AQW,No,Urban background,52.943644, -3.053116,NA,-,
11,Cwmbran Crownbridge,AQW,No,Urban background,52.943644, -3.053116,NA,-,
12,Hafod-yr-ynys Roadside,AQW,No,Urban background,52.943644, -3.053116,NA,-,
13,Marchlyn Mawr,AQW,No,Urban background,52.943644, -3.053116,NA,-,
14,Nantgarw Road,AQW,No,Urban background,52.943644, -3.053116,NA,-,
15,Narberth,AQW,Yes,Urban background,52.943644, -3.053116,05/06/2018,DEFRA,
16,Newport M4 Junction 25,AQW,No,Urban background,52.943644, -3.053116,NA,-,
17,Newport St Julians Comp School,AQW,Yes,Urban background,52.943644, -3.053116,12/12/2008,DEFRA,
18,Port Talbot Dyffryn School,AQW,Yes,Urban background,52.943644, -3.053116,20/05/2022,Unknown,
19,Port Talbot Little Warren,AQW,Yes,Urban background,52.943644, -3.053116,26/05/2022,Unknown,
20,Port Talbot Margam,AQW,Yes,Urban background,52.943644, -3.053116,23/04/2008,DEFRA,
21,Port Talbot Prince Street 2,AQW,Yes,Urban background,52.943644, -3.053116,07/03/2014,Local authority,
22,Port Talbot Twll-yn-y-Wal Park,AQW,No,Urban background,52.943644, -3.053116,NA,-,
23,Rhondda Mountain Ash,AQW,No,Urban background,52.943644, -3.053116,NA,-,
24,Rhondda Pontypridd Gelliwastad Rd,AQW,No,Urban background,52.943644, -3.053116,NA,-,
25,Rhondda-Cynon-Taf Broadway,AQW,No,Urban background,52.943644, -3.053116,NA,-,
26,Swansea Cwm Level Park,AQW,No,Urban background,52.943644, -3.053116,NA,-,
27,Swansea Hafod DOAS,AQW,No,Urban background,52.943644, -3.053116,NA,-,
28,Swansea Morfa Road NOX,AQW,No,Urban background,52.943644, -3.053116,NA,-,
29,Swansea Morriston Roadside,AQW,Yes,Urban background,52.943644, -3.053116,15/01/2016,Local authority,
30,Swansea Port Tennant Roadside,AQW,Yes,Urban background,52.943644, -3.053116,20/12/2018,Local authority,
31,Swansea Roadside,AQW,Yes,Urban background,52.943644, -3.053116,20/09/2006,DEFRA,
32,Swansea St Thomas DOAS,AQW,No,Urban background,52.943644, -3.053116,NA,-,
33,Swansea Station Court High Street,AQW,No,Urban background,52.943644, -3.053116,NA,-,
34,Twynyrodyn,AQW,Yes,Urban background,52.943644, -3.053116,01/01/2005,Local authority,
35,Wrexham,AQW,Yes,Urban background,52.943644, -3.053116,01/10/2018,DEFRA,
36,Wrexham Chirk,AQW,Yes,Urban background,52.943644, -3.053116,22/07/2020,Local authority,
37,Wrexham Chirk Community Hospital,AQW,Yes,Urban background,52.943644, -3.053116,29/11/2021,Unknown,
